Name,Latitude,Longitude
Luz-On,37.4428,-7.7474
MARL Energia,38.8679,-9.1072
Malhada Velha,38.0929,-8.1998
Malhada Velha 2,38.0929,-8.1998
Malhapão,38.8606,-9.1815
Marinha,40.8557,-8.6404
Martim Longo 1,37.4425,-7.7493
Martim Longo 2,37.441,-7.753
Martim Longo 3,37.4412,-7.753
Monte da Chaminé,38.0381,-8.1316
Olva,37.5882,-7.8332
Palmela,38.5731,-8.956
Paul Solar,32.7452,-17.1136
Porteirinhos,37.5619,-8.0701
Porto Santo,33.0598,-16.3348
Quinta do Louseiro,38.5108,-7.7787
Almodôvar,37.5229,-8.0582
Trajouce 1,38.737,-9.3339
Trajouce 2,38.737,-9.3339
Resun,38.5074,-7.8998
Riba d'Ave,41.4101,-8.4151
About the Future,38.4916,-8.8113
Acil 1,38.7086,-8.625
Acil 2,38.7086,-8.625
Alfouvar,38.8601,-9.2724
Sacavém,38.8733,-9.1083
Salgueirinha,38.6453,-8.889
Santo Varão,40.17,-8.5939
Seixal 1,38.594,-9.1649
Seixal 2,38.596,-9.1611
Seixal 3,38.596,-9.1611
Serpa,38.0299,-7.6229
Sol Cativante 5,37.1508,-7.9553
Sol Cativante 7,37.1508,-7.9553
Tejo Rei,38.8749,-9.1073
Condeixa,40.1172,-8.5399
Coruche 1A,38.9188,-8.6193
Coruche 1B,38.9188,-8.6193
Coruche 1C,38.9188,-8.6193
Coruche 2,38.9188,-8.6193
Coruche 3,38.9277,-8.5202
Eresolar,38.5503,-7.8471
Amareleja,38.1861,-7.2161
Estarreja,40.8262,-8.557
Estoi 1,37.0764,-7.8545
Estoi 2,37.0772,-7.8597
Estoi 3,37.0773,-7.8572
Fanhões,38.8747,-9.1097
Ferreira do Alentejo,38.0347,-8.1297
Ferreira do Alentejo,38.0543,-8.1368
Ferreiras,37.1215,-8.266
Flamenguinha,38.6125,-8.4424
Galelas,38.8821,-9.1416
Helios Evosol,38.5074,-7.8998
Interior Alentejano,37.6063,-8.0874
Lagos,37.1098,-8.6966
Loiral,32.744,-17.1115
Avalades,37.1647,-8.2737
Barbarrala,38.5335,-7.9155
Cabrela,38.6185,-8.4608
Campo do Ameixial,38.8813,-7.6456
Canha/Alpenduradas,38.7288,-8.5946
Caniçal,32.7518,-16.7512
Casal dos Cabeços,39.5787,-8.4057
Castanhos,37.5801,-7.8393
